sectionid,fieldid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype
organizational-chart,organizational-chart,dropdown,Does the company have a formal and documented organizational chart?,,,true,"z.enum([""no_formal_chart"", ""partial_chart"", ""full_chart""], { required_error: ""Please select an organizational chart status"" })","[{""id"":""no_formal_chart"",""value"":""No formal org chart, structure is still loosely defined""},{""id"":""partial_chart"",""value"":""A partially structured org chart exists, but not fully documented""},{""id"":""full_chart"",""value"":""Yes, a fully structured and updated org chart exists""}]",,
organizational-structure-review,structure-review,dropdown,How often is the organizational structure reviewed and updated?,,,true,"z.enum([""no_review"", ""yearly"", ""quarterly""], { required_error: ""Please select review frequency"" })","[{""id"":""no_review"",""value"":""No structured review process""},{""id"":""yearly"",""value"":""Once a year""},{""id"":""quarterly"",""value"":""Every quarter or as the company scales""}]",,
management-layers,management-layers,dropdown,How many management layers exist between entry-level employees and the CEO?,,,true,"z.enum([""5_plus_layers"", ""3_to_4_layers"", ""1_to_2_layers""], { required_error: ""Please select number of management layers"" })","[{""id"":""5_plus_layers"",""value"":""5+ layers (may indicate inefficiency for Series A)""},{""id"":""3_to_4_layers"",""value"":""3-4 layers (scaling but not overly complex)""},{""id"":""1_to_2_layers"",""value"":""1-2 layers (lean and efficient)""}]",,
department-reporting-structure,department-reporting,dropdown,Does each department report directly to its respective C-level executive?,,,true,"z.enum([""no_clear_reporting"", ""mixed_reporting"", ""direct_reporting""], { required_error: ""Please select reporting structure"" })","[{""id"":""no_clear_reporting"",""value"":""No clear reporting structure""},{""id"":""mixed_reporting"",""value"":""Mixed reporting structure (some direct, some fragmented)""},{""id"":""direct_reporting"",""value"":""Yes, direct reporting to C-level executives""}]",,
business-units-expansion,business-units,dropdown,Has the company expanded into multiple business units or divisions?,,,true,"z.enum([""single_entity"", ""partial_divisions"", ""clear_separation""], { required_error: ""Please select business units expansion status"" })","[{""id"":""single_entity"",""value"":""No, company still operates as one single entity""},{""id"":""partial_divisions"",""value"":""Partially, some divisions exist but operate informally""},{""id"":""clear_separation"",""value"":""Yes, clear separation of business units""}]",,
middle-management-structure,middle-management,dropdown,Does each department have a middle management layer separate from senior leadership?,,,true,"z.enum([""no_middle_management"", ""some_middle_management"", ""structured_middle_management""], { required_error: ""Please select middle management structure"" })","[{""id"":""no_middle_management"",""value"":""No, all teams still report directly to senior executives""},{""id"":""some_middle_management"",""value"":""Some departments have middle management, others don't""},{""id"":""structured_middle_management"",""value"":""Yes, structured middle management is in place""}]",,
c-level-executive-structure,c-level-roles-present,dropdown,Which of the following C-level executives are present in the company? (Select all that apply),,,true,"z.array(z.enum([""ceo"", ""coo"", ""cfo"", ""cto"", ""cmo"", ""cpo"", ""cro"", ""chro"", ""clo"", ""other""])).min(1, ""Please select at least one C-level executive"")","[{""id"":""ceo"",""value"":""Chief Executive Officer (CEO)""},{""id"":""coo"",""value"":""Chief Operating Officer (COO)""},{""id"":""cfo"",""value"":""Chief Financial Officer (CFO)""},{""id"":""cto"",""value"":""Chief Technology Officer (CTO)""},{""id"":""cmo"",""value"":""Chief Marketing Officer (CMO)""},{""id"":""cpo"",""value"":""Chief Product Officer (CPO)""},{""id"":""cro"",""value"":""Chief Revenue Officer (CRO)""},{""id"":""chro"",""value"":""Chief Human Resources Officer (CHRO)""},{""id"":""clo"",""value"":""Chief Legal Officer (CLO)""},{""id"":""other"",""value"":""Other (please specify)""}]",,
c-level-executive-structure,c-level-count,dropdown,How many C-level executives are present in the company?,,,true,"z.enum([""no_c_level"", ""1_to_2"", ""3_to_5"", ""6_to_8"", ""9_plus""], { required_error: ""Please select number of C-level executives"" })","[{""id"":""no_c_level"",""value"":""No formal C-level structure yet""},{""id"":""1_to_2"",""value"":""1-2 C-level executives""},{""id"":""3_to_5"",""value"":""3-5 C-level executives""},{""id"":""6_to_8"",""value"":""6-8 C-level executives""},{""id"":""9_plus"",""value"":""9-10+""}]",,
c-level-executive-evaluation,education-level,dropdown,What is their highest level of education?,,,true,"z.enum([""no_degree"", ""bachelors"", ""masters"", ""phd""], { required_error: ""Please select education level"" })","[{""id"":""no_degree"",""value"":""No formal degree""},{""id"":""bachelors"",""value"":""Bachelor's degree""},{""id"":""masters"",""value"":""Master's degree (MBA, MSc, etc.)""},{""id"":""phd"",""value"":""PhD or specialized industry certification""}]",,
c-level-executive-evaluation,years-experience,dropdown,How many years of experience does this C-level executive have in their respective field?,,,true,"z.enum([""less_than_3_years"", ""3_to_5_years"", ""6_to_10_years"", ""10_plus_years""], { required_error: ""Please select years of experience"" })","[{""id"":""less_than_3_years"",""value"":""Less than 3 years""},{""id"":""3_to_5_years"",""value"":""3-5 years""},{""id"":""6_to_10_years"",""value"":""6-10 years""},{""id"":""10_plus_years"",""value"":""10+ years""}]",,
c-level-executive-evaluation,startup-leadership-experience,dropdown,Has this executive previously held a leadership role in a startup or high-growth company?,,,true,"z.enum([""no_prior_leadership"", ""some_leadership_exposure"", ""previous_leadership_role""], { required_error: ""Please select startup leadership experience"" })","[{""id"":""no_prior_leadership"",""value"":""No prior leadership experience""},{""id"":""some_leadership_exposure"",""value"":""Some leadership exposure, but not in a startup""},{""id"":""previous_leadership_role"",""value"":""Previous leadership role in a high-growth startup""}]",,
c-level-executive-evaluation,industry-experience,dropdown,What is their industry experience?,,,true,"z.enum([""no_relevant_experience"", ""some_industry_exposure"", ""5_plus_years_experience""], { required_error: ""Please select industry experience level"" })","[{""id"":""no_relevant_experience"",""value"":""No relevant industry experience""},{""id"":""some_industry_exposure"",""value"":""Some industry exposure but not extensive""},{""id"":""5_plus_years_experience"",""value"":""5+ years in the same industry""}]",,
c-level-executive-evaluation,investor-relations-participation,dropdown,Does this executive participate in investor relations and board meetings?,,,true,"z.enum([""no_investor_interaction"", ""occasional_involvement"", ""regularly_engages""], { required_error: ""Please select investor relations participation level"" })","[{""id"":""no_investor_interaction"",""value"":""No, only the CEO interacts with investors""},{""id"":""occasional_involvement"",""value"":""Occasionally involved in investor discussions""},{""id"":""regularly_engages"",""value"":""Regularly engages with investors and board members""}]",,
