sectionid,sectiontitle,firstfield,nextnode
organizational-chart-documentation,organizational chart documentation,organizationalChartDocumentation,organizational-structure-review-frequency
organizational-structure-review-frequency,organizational structure review frequency,organizationalStructureReview,management-layers
management-layers,management layers,managementLayers,department-reporting-structure
department-reporting-structure,department reporting structure,departmentReportingStructure,c-level-executives-present
c-level-executives-present,c-level executives present,cLevelExecutivesPresent,c-level-executive-education-level
c-level-executive-education-level,c-level executive education level,cLevelExecutiveEducation,c-level-executive-experience-years
c-level-executive-experience-years,c-level executive experience years,cLevelExecutiveExperience,c-level-executive-leadership-experience
c-level-executive-leadership-experience,c-level executive leadership experience,cLevelExecutiveLeadership,c-level-executive-industry-experience
c-level-executive-industry-experience,c-level executive industry experience,cLevelExecutiveIndustryExperience,c-level-executive-investor-relations
c-level-executive-investor-relations,c-level executive investor relations,cLevelExecutiveInvestorRelations,c-level-executive-strategic-decision-making
c-level-executive-strategic-decision-making,c-level executive strategic decision making,cLevelExecutiveStrategicDecisions,organization-chart-upload
organization-chart-upload,organization chart upload,organizationChartUpload,formally-established-departments
formally-established-departments,formally established departments,formallyEstablishedDepartments,department-head-education-level
department-head-education-level,department head education level,departmentHeadEducation,department-head-experience-years
department-head-experience-years,department head experience years,departmentHeadExperience,department-head-startup-experience
department-head-startup-experience,department head startup experience,departmentHeadStartupExperience,department-employee-count
department-employee-count,department employee count,departmentEmployeeCount,department-employee-experience-percentage
department-employee-experience-percentage,department employee experience percentage,departmentEmployeeExperiencePercentage,department-performance-review-frequency
department-performance-review-frequency,department performance review frequency,departmentPerformanceReviewFrequency,department-tools-software
department-tools-software,department tools and software,departmentToolsSoftware,department-documented-processes
department-documented-processes,department documented processes,departmentDocumentedProcesses,department-process-review-frequency
department-process-review-frequency,department process review frequency,departmentProcessReviewFrequency,workflow-bottleneck-resolution
workflow-bottleneck-resolution,workflow bottleneck resolution,workflowBottleneckResolution,department-kpi-ownership
department-kpi-ownership,department kpi ownership,departmentKpiOwnership,internal-collaboration-tools
internal-collaboration-tools,internal collaboration tools,internalCollaborationTools,department-head-reporting-requirements
department-head-reporting-requirements,department head reporting requirements,departmentHeadReportingRequirements,department-structure-scalability
department-structure-scalability,department structure scalability,departmentStructureScalability,
