sectionid,fieldid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype
org-chart,org-chart-status,dropdown,Does the company have a formal and documented organizational chart?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_chart"",""value"":""No formal org chart, structure is still loosely defined""},{""id"":""partial_chart"",""value"":""A partially structured org chart exists, but not fully documented""},{""id"":""full_chart"",""value"":""Yes, a fully structured and updated org chart exists""}]",,
structure-review,structure-review,dropdown,How often is the organizational structure reviewed and updated?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_review"",""value"":""No structured review process""},{""id"":""yearly"",""value"":""Once a year""},{""id"":""quarterly_or_scaling"",""value"":""Every quarter or as the company scales""}]",,
management-layers,management-layers,dropdown,How many management layers exist between entry-level employees and the CEO?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""5_plus"",""value"":""5+ layers (may indicate inefficiency for Series A)""},{""id"":""3_4_layers"",""value"":""3-4 layers (scaling but not overly complex)""},{""id"":""1_2_layers"",""value"":""1-2 layers (lean and efficient)""}]",,
department-reporting,department-reporting,dropdown,Does each department report directly to its respective C-level executive?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_structure"",""value"":""No clear reporting structure""},{""id"":""mixed_structure"",""value"":""Mixed reporting structure (some direct, some fragmented)""},{""id"":""direct_reporting"",""value"":""Yes, direct reporting to C-level executives""}]",,
business-units,business-units,dropdown,Has the company expanded into multiple business units or divisions?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""single_entity"",""value"":""No, company still operates as one single entity""},{""id"":""partial_divisions"",""value"":""Partially, some divisions exist but operate informally""},{""id"":""clear_divisions"",""value"":""Yes, clear separation of business units""}]",,
middle-management,middle-management,dropdown,Does each department have a middle management layer separate from senior leadership?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_middle"",""value"":""No, all teams still report directly to senior executives""},{""id"":""some_middle"",""value"":""Some departments have middle management, others don    t""},{""id"":""yes_middle"",""value"":""Yes, structured middle management is in place""}]",,
c-level-executives,c-level-roles,dropdown,Which of the following C-level executives are present in the company?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""ceo"",""value"":""Chief Executive Officer (CEO)""},{""id"":""coo"",""value"":""Chief Operating Officer (COO)""},{""id"":""cfo"",""value"":""Chief Financial Officer (CFO)""},{""id"":""cto"",""value"":""Chief Technology Officer (CTO)""},{""id"":""cmo"",""value"":""Chief Marketing Officer (CMO)""},{""id"":""cpo"",""value"":""Chief Product Officer (CPO)""},{""id"":""cro"",""value"":""Chief Revenue Officer (CRO)""},{""id"":""chro"",""value"":""Chief Human Resources Officer (CHRO)""},{""id"":""clo"",""value"":""Chief Legal Officer (CLO)""},{""id"":""other"",""value"":""Other (please specify)""},{""id"":""no_c_level"",""value"":""No formal C-level structure yet""},{""id"":""1_2_c_levels"",""value"":""1-2 C-level executives""},{""id"":""3_5_c_levels"",""value"":""3-5 C-level executives""},{""id"":""6_8_c_levels"",""value"":""6-8 C-level executives""},{""id"":""9_plus_c_levels"",""value"":""9-10+""}]",,
c-level-executives,c-level-education,dropdown,What is their highest level of education?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_degree"",""value"":""No formal degree""},{""id"":""bachelor"",""value"":""Bachelor's degree""},{""id"":""master"",""value"":""Master's degree (MBA, MSc, etc.)""},{""id"":""phd_or_cert"",""value"":""PhD or specialized industry certification""}]",,
c-level-executives,c-level-experience,dropdown,How many years of experience does this C-level executive have in their respective field?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""lt3"",""value"":""Less than 3 years""},{""id"":""3_5"",""value"":""3-5 years""},{""id"":""6_10"",""value"":""6-10 years""},{""id"":""10_plus"",""value"":""10+ years""}]",,
c-level-executives,leadership-startup,dropdown,Has this executive previously held a leadership role in a startup or high-growth company?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_leadership"",""value"":""No prior leadership experience""},{""id"":""some_exposure"",""value"":""Some leadership exposure, but not in a startup""},{""id"":""startup_leader"",""value"":""Previous leadership role in a high-growth startup""}]",,
