sectionid,fieldid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype
valuation,valuation-bracket,text,What is your company's estimated valuation brackets? (Insert estimated bracket - lower + upper bounds in USD),,,true,"z.string().min(1, ""Valuation bracket is required"")",[],,
valuation,cap-table,file,Cap table - Upload PDF or excel file (no csv),,,true,"z.string().min(1, ""Cap table is required"").refine((val) => val.endsWith("".pdf"") || val.endsWith("".xlsx"") || val.endsWith("".xls""), ""File must be PDF or Excel format"")",[],,
revenue-growth,yoy-growth,dropdown,What was your year-over-year (YoY) revenue growth?,,,true,"z.enum([""< 15%"", ""15-40%"", ""> 40%""], { required_error: ""YoY revenue growth is required"" })","[{""id"":""less_15"",""value"":""< 15%""},{""id"":""15_to_40"",""value"":""15-40%""},{""id"":""more_40"",""value"":""> 40%""}]",,
net-result,profit-status,dropdown,"Has the generated revenue resulted in a net profit (i.e., revenue surpassing expenses)?",,,true,"z.enum([""No"", ""Yes""], { required_error: ""Profit status is required"" })","[{""id"":""no"",""value"":""No""},{""id"":""yes"",""value"":""Yes""}]",,
net-result,pl-statement,file,"Upload P&L Statement (PDF or excel file, no csv)",,,true,"z.string().min(1, ""P&L statement is required"").refine((val) => val.endsWith("".pdf"") || val.endsWith("".xlsx"") || val.endsWith("".xls""), ""File must be PDF or Excel format"")",[],,
net-result,net-result,dropdown,What is your current net result (profit or loss)?,,,true,"z.enum([""Loss greater than 20% of revenue"", ""Loss between 20% and 0%"", ""Break-even or profit <10%"", ""Profit > 10%""], { required_error: ""Net result is required"" })","[{""id"":""loss_20plus"",""value"":""Loss greater than 20% of revenue""},{""id"":""loss_20_to_0"",""value"":""Loss between 20% and 0%""},{""id"":""break_even"",""value"":""Break-even or profit <10%""},{""id"":""profit_10plus"",""value"":""Profit > 10%""}]",,
opex,opex-ratio,dropdown,What is your current OpEx ratio?,,,true,"z.enum([""> 70% of revenue spent on OpEx"", ""40-70% of revenue spent on OpEx"", ""< 40% of revenue spent on OpEx""], { required_error: ""OpEx ratio is required"" })","[{""id"":""over_70"",""value"":""> 70% of revenue spent on OpEx""},{""id"":""40_to_70"",""value"":""40-70% of revenue spent on OpEx""},{""id"":""under_40"",""value"":""< 40% of revenue spent on OpEx""}]",,
opex,balance-sheet,file,"Upload Balance Sheet statement (PDF or excel file, no csv)",,,true,"z.string().min(1, ""Balance sheet is required"").refine((val) => val.endsWith("".pdf"") || val.endsWith("".xlsx"") || val.endsWith("".xls""), ""File must be PDF or Excel format"")",[],,
burn-rate,burn-rate,dropdown,What is your current monthly cash burn rate?,,,true,"z.enum(["">100% of revenue"", ""60%-100% of revenue"", ""<60% of revenue""], { required_error: ""Burn rate is required"" })","[{""id"":""over_100"",""value"":"">100% of revenue""},{""id"":""60_to_100"",""value"":""60%-100% of revenue""},{""id"":""under_60"",""value"":""<60% of revenue""}]",,
liquidity,current-ratio,dropdown,What is your current liquidity ratio?,,,true,"z.enum([""< 1.5"", ""1.5 - 2.0"", ""> 2.0""], { required_error: ""Current ratio is required"" })","[{""id"":""under_1_5"",""value"":""< 1.5""},{""id"":""1_5_to_2"",""value"":""1.5 - 2.0""},{""id"":""over_2"",""value"":""> 2.0""}]",,
liquidity,quick-ratio,dropdown,What is your quick liquidity ratio?,,,true,"z.enum([""< 1.0"", ""1.0 - 1.5"", ""> 1.5""], { required_error: ""Quick ratio is required"" })","[{""id"":""under_1"",""value"":""< 1.0""},{""id"":""1_to_1_5"",""value"":""1.0 - 1.5""},{""id"":""over_1_5"",""value"":""> 1.5""}]",,
cash-runway,runway-time,dropdown,How many months of runway do you currently have?,,,true,"z.enum([""Less than 6 months"", ""6 to 12 months"", ""12-18 months"", ""More than 18 months""], { required_error: ""Runway time is required"" })","[{""id"":""under_6"",""value"":""Less than 6 months""},{""id"":""6_to_12"",""value"":""6 to 12 months""},{""id"":""12_to_18"",""value"":""12-18 months""},{""id"":""over_18"",""value"":""More than 18 months""}]",,
debt-management,financing-type,dropdown,Did the company previously opt for debt or equity financing?,,,true,"z.enum([""Opted for equity financing"", ""Opted for debt financing"", ""Used both debt and equity""], { required_error: ""Financing type is required"" })","[{""id"":""equity"",""value"":""Opted for equity financing""},{""id"":""debt"",""value"":""Opted for debt financing""},{""id"":""both"",""value"":""Used both debt and equity""}]",,
debt-management,debt-equity-ratio,dropdown,What is your current debt-to-equity ratio?,,,true,"z.enum([""More than 1 (High debt)"", ""Between 0.5 and 1 (Moderate debt)"", ""Less than 0.5 (Low debt)""], { required_error: ""Debt-to-equity ratio is required"" })","[{""id"":""high_debt"",""value"":""More than 1 (High debt)""},{""id"":""moderate_debt"",""value"":""Between 0.5 and 1 (Moderate debt)""},{""id"":""low_debt"",""value"":""Less than 0.5 (Low debt)""}]",,
