sectionid,sectiontitle,firstfield,nextnode
valuation,valuation,valuationBracket,revenue-growth
revenue-growth,revenue growth,yoyGrowth,net-result
net-result,net result (net profit/loss),profitStatus,opex
opex,opex,opexRatio,burn-rate
burn-rate,burn rate,burnRate,liquidity
liquidity,liquidity,currentRatio,cash-runway
cash-runway,cash runway,runwayTime,debt-management
debt-management,debt management,financingType,operational-efficiency
operational-efficiency,operational efficiency,arTurnover,tax-efficiency
tax-efficiency,tax efficiency,taxRate,
