sectionid,fieldid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype
valuation,valuation-bracket,text,What is your company's estimated valuation brackets? (Insert estimated bracket - lower + upper bounds in USD),,,true,"z.string().min(1, ""Valuation bracket is required"")",[],,
valuation,cap-table,file,Cap table - Upload PDF or excel file (no csv),,,true,"z.string().min(1, ""Cap table is required"").refine((val) => val.endsWith("".pdf"") || val.endsWith("".xlsx"") || val.endsWith("".xls""), ""File must be PDF or Excel format"")",[],,
revenue-growth,yoy-growth,dropdown,What was your year-over-year (YoY) revenue growth?,,,true,"z.enum([""< 20%"", ""20-50%"", ""> 50%""], { required_error: ""YoY growth selection is required"" })","[{""id"":""under_20"",""value"":""< 20%""},{""id"":""20_to_50"",""value"":""20-50%""},{""id"":""over_50"",""value"":""> 50%""}]",,
net-result,profit-status,dropdown,"Has the generated revenue resulted in a net profit (i.e., revenue surpassing expenses)?",,,true,"z.enum([""No"", ""Yes""], { required_error: ""Profit status selection is required"" })","[{""id"":""no"",""value"":""No""},{""id"":""yes"",""value"":""Yes""}]",,
net-result,pl-statement,file,"Upload P&L Statement (PDF or excel file, no csv)",,,true,"z.string().min(1, ""P&L statement is required"").refine((val) => val.endsWith("".pdf"") || val.endsWith("".xlsx"") || val.endsWith("".xls""), ""File must be PDF or Excel format"")",[],,
net-result,profit-timeline,dropdown,In how many years do you expect your revenue to surpass expenses and generate net profit?,,,true,"z.enum([""More than 4 years"", ""3 to 4 Years"", ""Less than 3 years""], { required_error: ""Profit timeline selection is required"" })","[{""id"":""over_4_years"",""value"":""More than 4 years""},{""id"":""3_to_4_years"",""value"":""3 to 4 Years""},{""id"":""under_3_years"",""value"":""Less than 3 years""}]",,
net-result,net-result,dropdown,What is your current net result (profit or loss)?,,,true,"z.enum([""Loss greater than 25% of revenue"", ""Loss between 25% and 0%"", ""Break-even or profit <5%"", ""Profit > 5%""], { required_error: ""Net result selection is required"" })","[{""id"":""loss_over_25"",""value"":""Loss greater than 25% of revenue""},{""id"":""loss_25_to_0"",""value"":""Loss between 25% and 0%""},{""id"":""break_even"",""value"":""Break-even or profit <5%""},{""id"":""profit_over_5"",""value"":""Profit > 5%""}]",,
opex,opex-ratio,dropdown,What is your current OpEx ratio?,,,true,"z.enum([""> 80% of revenue spent on OpEx"", ""50-80% of revenue spent on OpEx"", ""< 50% of revenue spent on OpEx""], { required_error: ""OpEx ratio selection is required"" })","[{""id"":""over_80"",""value"":""> 80% of revenue spent on OpEx""},{""id"":""50_to_80"",""value"":""50-80% of revenue spent on OpEx""},{""id"":""under_50"",""value"":""< 50% of revenue spent on OpEx""}]",,
opex,balance-sheet,file,"Upload Balance Sheet statement (PDF or excel file, no csv)",,,true,"z.string().min(1, ""Balance sheet is required"").refine((val) => val.endsWith("".pdf"") || val.endsWith("".xlsx"") || val.endsWith("".xls""), ""File must be PDF or Excel format"")",[],,
burn-rate,burn-rate,dropdown,What is your current monthly cash burn rate?,,,true,"z.enum(["">120% of revenue"", ""80%-120% of revenue"", ""<80% of revenue""], { required_error: ""Burn rate selection is required"" })","[{""id"":""over_120"",""value"":"">120% of revenue""},{""id"":""80_to_120"",""value"":""80%-120% of revenue""},{""id"":""under_80"",""value"":""<80% of revenue""}]",,
liquidity,current-ratio,dropdown,What is your current liquidity ratio?,,,true,"z.enum([""< 1.2"", ""1.2 - 1.8"", ""> 1.8""], { required_error: ""Current ratio selection is required"" })","[{""id"":""under_1_2"",""value"":""< 1.2""},{""id"":""1_2_to_1_8"",""value"":""1.2 - 1.8""},{""id"":""over_1_8"",""value"":""> 1.8""}]",,
liquidity,quick-ratio,dropdown,What is your quick liquidity ratio?,,,true,"z.enum([""< 0.9"", ""0.9 - 1.3"", ""> 1.3""], { required_error: ""Quick ratio selection is required"" })","[{""id"":""under_0_9"",""value"":""< 0.9""},{""id"":""0_9_to_1_3"",""value"":""0.9 - 1.3""},{""id"":""over_1_3"",""value"":""> 1.3""}]",,
cash-runway,runway-time,dropdown,How many months of runway do you currently have?,,,true,"z.enum([""Less than 6 months"", ""6 to 12 months"", ""12-18 months"", ""More than 18 months""], { required_error: ""Runway time selection is required"" })","[{""id"":""under_6"",""value"":""Less than 6 months""},{""id"":""6_to_12"",""value"":""6 to 12 months""},{""id"":""12_to_18"",""value"":""12-18 months""},{""id"":""over_18"",""value"":""More than 18 months""}]",,
debt-management,financing-type,dropdown,Did the company previously opt for debt or equity financing?,,,true,"z.enum([""Opted for debt financing"", ""Used both debt and equity"", ""Opted for equity financing""], { required_error: ""Financing type selection is required"" })","[{""id"":""debt"",""value"":""Opted for debt financing""},{""id"":""both"",""value"":""Used both debt and equity""},{""id"":""equity"",""value"":""Opted for equity financing""}]",,
