id,sectiontitle,firstfield,nextnode
046bc368-d1c4-4b7e-99e9-bea83d516a22,Organizational Chart,878d3291-711d-4cf9-9bbf-322810bd48d6,1578c33d-25b2-4f92-8399-d7892f3a8328
1578c33d-25b2-4f92-8399-d7892f3a8328,Organizational Structure Review,d7351a27-c418-478f-9712-a120e79912f4,ac0bdb14-0712-484c-a52a-a109e5d5e5ab
ac0bdb14-0712-484c-a52a-a109e5d5e5ab,Management Layers,56a94abe-8e58-4b5a-a9a2-38b9c2ec5ac3,508d3b84-2a68-4feb-9a1a-6d76c699c7f3
508d3b84-2a68-4feb-9a1a-6d76c699c7f3,Department Reporting Structure,f07c87d8-da33-4f31-ad3c-5c0b0fb53568,81256b7d-5449-4bee-9bd7-fdc2e055cb78
81256b7d-5449-4bee-9bd7-fdc2e055cb78,Business Units Expansion,68ad0556-fa68-432e-8127-f2568bb476a0,1c5b1c4e-8e18-4d4a-a0ad-bc82365076dd
1c5b1c4e-8e18-4d4a-a0ad-bc82365076dd,Middle Management Structure,3e2f4226-f3bc-4bbe-996f-1211a915f461,8cf1f2fb-6263-4862-a1f6-d92e141a20d6
8cf1f2fb-6263-4862-a1f6-d92e141a20d6,C-Level Executive Structure,32a039b4-8fd2-4dda-a43a-a76469bc8b10,3aaa3ea8-35ec-4168-9390-1447eb3636b4
3aaa3ea8-35ec-4168-9390-1447eb3636b4,C-Level Executive Evaluation,00a0f963-106d-4c17-a901-bddd158479f4,adc2a5c8-b603-44a5-82ff-823055a7ca77
adc2a5c8-b603-44a5-82ff-823055a7ca77,Department Structure & Evaluation,4ec02573-f22a-443b-888b-8d0dc9f5d896,a081016a-785e-4e91-910d-9847cd87981d
a081016a-785e-4e91-910d-9847cd87981d,Department KPIs & Performance,0799853f-ca3c-43dd-9e54-f04bfc121756,421b0837-e8a9-4d52-8b91-5c8ab0a6a41e
421b0837-e8a9-4d52-8b91-5c8ab0a6a41e,Internal Collaboration Tools,f826afcb-f77f-44e7-b3e9-8b8eafa804e8,61503ca0-cf7c-43bf-95f2-5ec351d5c6fd
61503ca0-cf7c-43bf-95f2-5ec351d5c6fd,Department Reporting System,8f5e45b0-42d3-4f9b-95ca-9d4573497e48,ba294726-256c-4e2d-89cf-40c2d3ae202b
ba294726-256c-4e2d-89cf-40c2d3ae202b,Scalability Resilience,e8a0edde-3569-4e80-bc52-c2acb177987b,175e3d06-980b-4083-9fa7-9cf3ac6ee799
175e3d06-980b-4083-9fa7-9cf3ac6ee799,Career Progression Paths,2c0506c9-ae1f-4821-85e3-009bf0a7fe34,c0459f32-2d94-4a0b-9fd2-a98bba109a0f
c0459f32-2d94-4a0b-9fd2-a98bba109a0f,Internal vs External Hires,dd6b47e1-53b8-46bf-a795-e231a2e531a1,0769a5f9-cd49-403c-bb05-52bbb389c69e
0769a5f9-cd49-403c-bb05-52bbb389c69e,Global Operations Optimization,e1f3de50-f242-4649-9cc3-f47ffcf238bc,e2a5ad5f-2f76-47a6-b4a3-170bff9423e6
e2a5ad5f-2f76-47a6-b4a3-170bff9423e6,Compliance & Risk Management,45f2596f-7df2-470a-b138-d1d11f612eec,2034c157-eb32-414a-a64b-6b3c17cb45f2
2034c157-eb32-414a-a64b-6b3c17cb45f2,Department Restructuring Frequency,115d43d9-bdaf-41de-83d2-48e36b0b6600,
