id,sectiontitle,firstfield,nextnode
131e6b18-7439-41c2-90e3-4db6d400e89f,Founder Involvement,e6da5008-e19c-4d12-b90b-9d8c889024df,e3669e6b-0a6d-403d-83d6-486c6949e61a
e3669e6b-0a6d-403d-83d6-486c6949e61a,Founder Role Evolution,617fcb55-0346-47a0-bddf-1126ff602ad7,d3afc66c-600f-4f1d-ab50-3f15ef558bd7
d3afc66c-600f-4f1d-ab50-3f15ef558bd7,CEO Leadership,1d0dc11d-241a-474e-ba57-b468085b8854,64c9d181-e484-473a-a8e8-007b99634729
64c9d181-e484-473a-a8e8-007b99634729,Founder Responsibilities Documentation,53586c25-cad4-4e6a-a105-31a22bf616e0,5d7a234e-047d-407f-b8b6-c39361f3e78e
5d7a234e-047d-407f-b8b6-c39361f3e78e,Investor and Advisor Engagement,e4c122b0-4c2b-4ae9-ae50-79cb8e731125,f087c814-af50-4584-9ba8-9319408cbaa8
f087c814-af50-4584-9ba8-9319408cbaa8,External Leadership Attraction,ec4542ff-26fb-4710-81be-9d25d4651d35,323af9cf-83c4-42f6-8922-a32bccc8bc39
323af9cf-83c4-42f6-8922-a32bccc8bc39,Founder Compensation Structure,d8d7e57e-3b56-4ae0-beed-e6ebe4df890f,1c7deddc-6aaa-4990-9496-9116b651d54e
1c7deddc-6aaa-4990-9496-9116b651d54e,Departmental Structures,76897973-319a-4493-ba1f-60f292be3a1f,13259a8d-f30e-45ef-812b-4779bd48b50c
13259a8d-f30e-45ef-812b-4779bd48b50c,Department Head Decision Making,30b68648-1ca7-4dab-9c67-725b2b3d72da,54e94c24-119c-41fb-98f5-1d09d71d58c7
54e94c24-119c-41fb-98f5-1d09d71d58c7,Organizational Chart,138fa849-9870-4562-b693-1944fc60dc3a,f33ab153-1a98-4ce0-9ca9-f73dd73bd1f1
f33ab153-1a98-4ce0-9ca9-f73dd73bd1f1,Existing Departments,301c4128-79ad-4854-a9ce-371933e91f3a,62572aa4-0a9a-4f8f-a731-dd3c361407d7
62572aa4-0a9a-4f8f-a731-dd3c361407d7,Dedicated Team Members,442eb4cb-e0aa-44b4-a134-1ecf12ff29e9,3a2d8f9f-4e8e-4250-be8f-8b8c82339b96
3a2d8f9f-4e8e-4250-be8f-8b8c82339b96,Department Leaders Assignment,41516b19-57b1-4fcf-b687-2c078de6d011,1f687b67-8b02-4dcf-b709-eb5f179175e8
1f687b67-8b02-4dcf-b709-eb5f179175e8,Department KPIs and Performance Tracking,ec42b582-ed71-4872-b4be-afd524319497,5a43a100-eafe-404c-8781-594242de20d4
5a43a100-eafe-404c-8781-594242de20d4,Cross-Department Communication,192a871f-9482-4b7c-aad5-5f681671649b,ba501e39-8a3f-4f51-b352-e260b3d4bdd5
ba501e39-8a3f-4f51-b352-e260b3d4bdd5,Organization Chart Upload,8ef2ec39-9b31-4e89-871b-04aeb563751f,63ec868a-0565-4f0c-8d04-cc599c9f9156
63ec868a-0565-4f0c-8d04-cc599c9f9156,Product & Technology Responsibility,3bc8b729-e2fe-45dc-a0a9-868e69f00f4d,631610a7-6808-457b-8db7-8cb177bce67c
631610a7-6808-457b-8db7-8cb177bce67c,Tech Lead Education Level,259d9d3a-b557-4d80-8338-fd578d6d4928,928cd005-5a4b-481b-9518-da24dd869073
928cd005-5a4b-481b-9518-da24dd869073,Tech Lead Experience Years,714a3240-856a-4d0e-aa86-3aee557159a7,46a8dabf-ae4d-459f-aa82-f91bced879ad
46a8dabf-ae4d-459f-aa82-f91bced879ad,Tech Lead Leadership Experience,476a8dc0-f41b-487d-babc-0d2aa57be96e,248ca949-0c9c-4761-a93c-97b379dc0816
248ca949-0c9c-4761-a93c-97b379dc0816,Marketing & Sales Responsibility,79e4afc7-62f9-48f6-9023-e608c7ded00d,c5b68258-2ad0-4f22-b026-beb4482c0c74
c5b68258-2ad0-4f22-b026-beb4482c0c74,Marketing Lead Education Level,2a390c32-9d9e-4982-bfe8-c3860e6bd842,5a2c20ce-7729-4857-9ef3-a504b439cb19
5a2c20ce-7729-4857-9ef3-a504b439cb19,Marketing Lead Experience Years,2d2c9349-6a69-4ac6-b2e4-4dec76b139e7,0761b6a1-1ddf-4cea-b536-b3230cd17f3a
0761b6a1-1ddf-4cea-b536-b3230cd17f3a,Marketing Lead Industry Experience,d7f8b8bf-37f4-42a6-99ee-8281b7d3d1b1,67da88eb-7a6e-4231-a946-f53dcc6573c0
67da88eb-7a6e-4231-a946-f53dcc6573c0,Finance Management Responsibility,e6ee4d6e-037a-4589-8c3f-6cb58c51bab1,89746638-2918-4508-8542-3de01e8e00c4
89746638-2918-4508-8542-3de01e8e00c4,Finance Lead Education Background,707b75a9-5fcb-4c3b-a1fe-e5a459d6f29c,43ce9a1c-c530-4fb7-aa24-c70a9c3dd0d6
43ce9a1c-c530-4fb7-aa24-c70a9c3dd0d6,Finance Lead Prior Experience,a98b9e2e-87e5-4c2b-9d40-5d90f04f908a,c1631bcc-fe8e-4499-9993-e197cf5fea65
c1631bcc-fe8e-4499-9993-e197cf5fea65,Finance Lead Total Experience,955e0823-4fd9-4b77-8178-975c7641e521,b1c579cf-dd09-478c-a5ea-60770dc4f44a
b1c579cf-dd09-478c-a5ea-60770dc4f44a,Operations & HR Responsibility,d0282e1f-f6bf-4c56-adf1-4fa4b9fa9a6e,edbfbe61-f08d-4a6d-8f83-749a3d6d0bc3
edbfbe61-f08d-4a6d-8f83-749a3d6d0bc3,Operations Lead Background,55417c51-cfef-4fe8-9d0c-84bdbe0c6f29,d8128828-9f4f-4d53-b0e3-5809548ee15a
d8128828-9f4f-4d53-b0e3-5809548ee15a,Operations Lead Prior Experience,de31d56b-eaf5-452d-8e71-c449344a41b9,e3792afe-6a11-41fb-92e7-4e77af342fcc
e3792afe-6a11-41fb-92e7-4e77af342fcc,Dedicated Full-Time Employees,d9f47183-eb68-4dee-8038-bd15af14f2f6,b160d648-a829-44d3-9016-7ca913626896
b160d648-a829-44d3-9016-7ca913626896,Employee Count,47d93bdf-71b1-429f-9fcf-8cbd6f953d28,3a39acfa-570e-4246-a0c2-0c2516c48f27
3a39acfa-570e-4246-a0c2-0c2516c48f27,Employee Role Documentation,cdefd385-f371-4fb5-9267-661d4f00bf00,3d882e8f-8fc8-4e61-942b-ce14fa91c10c
3d882e8f-8fc8-4e61-942b-ce14fa91c10c,Department Tools and Infrastructure,cf692410-3b6a-4853-b805-35b0b3f4a861,429299af-4dc6-453a-8e25-e5fec5e9d8f6
429299af-4dc6-453a-8e25-e5fec5e9d8f6,Internal Processes and Workflows,d88b89f8-e202-43b4-a113-2092556c3ce0,
