id,sectiontitle,firstfield,nextnode
6e11e6fb-e10d-4eeb-b889-72864131fe91,Organizational Chart Documentation,d22f132a-b5ee-4766-b8d3-db930cbdde71,1a26bd2e-6738-4944-b76e-68d1ee73e72a
1a26bd2e-6738-4944-b76e-68d1ee73e72a,Organizational Structure Review Frequency,cd022907-27c0-44c4-92e3-f43085ec3f06,4f832601-6d86-41c5-8fac-726b987f2f8c
4f832601-6d86-41c5-8fac-726b987f2f8c,Management Layers,3ac30842-d751-4875-91d5-75e260e19274,e2343d62-171b-44c8-8e2c-1500f141b9dd
e2343d62-171b-44c8-8e2c-1500f141b9dd,Department Reporting Structure,4a9a5dc1-2e26-42dd-8f3c-675f973a8eae,260bd66d-4f0f-4ea8-a1c2-ef31241d62b4
260bd66d-4f0f-4ea8-a1c2-ef31241d62b4,C-Level Executives Present,5324b1a0-5602-4b5f-a735-02a515e813db,ce2f444b-13ef-43d1-b623-0385e5deb4d6
ce2f444b-13ef-43d1-b623-0385e5deb4d6,C-Level Executive Education Level,8fc2ced6-f455-4925-9f24-22d6d8e55105,eeae30da-a7ad-40ea-9a34-4e3accd89166
eeae30da-a7ad-40ea-9a34-4e3accd89166,C-Level Executive Experience Years,00139284-e0e4-4bd1-9ce9-fbf79bac3a78,3dfca81a-a26e-4390-8b97-55da9a33a91f
3dfca81a-a26e-4390-8b97-55da9a33a91f,C-Level Executive Leadership Experience,f27cc678-bfdb-4317-a0a4-221488aebc48,1aeafe0e-92cd-4703-a53a-d6440ba10d36
1aeafe0e-92cd-4703-a53a-d6440ba10d36,C-Level Executive Industry Experience,4718fdb9-032e-4a44-85c2-530e3a09ac1c,cfad7b14-7d3a-44c6-96a3-b499633c6f40
cfad7b14-7d3a-44c6-96a3-b499633c6f40,C-Level Executive Investor Relations,f08bae70-686e-4f46-979a-9954c4383f07,94d28b3f-6d5b-463c-b1b6-b3fb161492b0
94d28b3f-6d5b-463c-b1b6-b3fb161492b0,C-Level Executive Strategic Decision Making,642be3c1-f874-4ddf-b0c8-334b0075eab1,4436b7cd-5fbf-48ed-a634-d58a9cb37d69
4436b7cd-5fbf-48ed-a634-d58a9cb37d69,Organization Chart Upload,049b11c1-6300-4caf-94fc-235e7e52ac74,1bd90daf-9436-4417-9986-24aeb3605c35
1bd90daf-9436-4417-9986-24aeb3605c35,Formally Established Departments,ee013d4b-7329-4a2f-833f-3076a08aed6c,e68142e0-3a2d-4f0d-b41e-e0bba8d11959
e68142e0-3a2d-4f0d-b41e-e0bba8d11959,Department Head Education Level,796a370c-0e4a-4403-b18b-255f70633eae,329df5fd-bec1-4485-819d-5b9918df08f0
329df5fd-bec1-4485-819d-5b9918df08f0,Department Head Experience Years,5603207e-34bd-48e4-8ac0-a0f75d63d2f9,bf0beafc-e86c-4126-9005-6c94f33ec394
bf0beafc-e86c-4126-9005-6c94f33ec394,Department Head Startup Experience,f2478328-dc35-4b61-b006-26442f04d8ab,acad2209-4970-4328-8c6d-f28e4e15fa03
acad2209-4970-4328-8c6d-f28e4e15fa03,Department Employee Count,f64a941d-9b5a-4192-9035-e850988efd1b,4807c081-f43f-4cf2-8d69-abdfbc1c13e0
4807c081-f43f-4cf2-8d69-abdfbc1c13e0,Department Employee Experience Percentage,4c34ccb1-a044-40b5-9480-37f9dfdbd37e,76230d1f-ea79-4662-a4ff-f3b51b4bf22a
76230d1f-ea79-4662-a4ff-f3b51b4bf22a,Department Performance Review Frequency,51e7e2cf-1b0e-4cd7-a4cf-9e010578248c,da3ea598-6ec1-4e45-8cb2-e7273d3c6b02
da3ea598-6ec1-4e45-8cb2-e7273d3c6b02,Department Tools and Software,01f90a0a-6942-4cab-9074-e85cc019033d,ac28fe37-c3e2-42af-9de6-c50106fb1564
ac28fe37-c3e2-42af-9de6-c50106fb1564,Department Documented Processes,210aedbd-3256-47cf-87b1-a6ffbb93bc73,160e1516-ee9b-42ff-8b74-ebf0ee44d483
160e1516-ee9b-42ff-8b74-ebf0ee44d483,Department Process Review Frequency,4e050b7a-83f2-42c0-bd44-115c9d521dea,7f554e22-1c1d-481e-ae4b-e156dc8d4708
7f554e22-1c1d-481e-ae4b-e156dc8d4708,Workflow Bottleneck Resolution,bf8ac163-c534-432e-b1a2-d3231d6e6c9d,996d86b1-76af-410e-82a7-d3d2fcb5d6ef
996d86b1-76af-410e-82a7-d3d2fcb5d6ef,Department KPI Ownership,3ecfeb44-0674-45e5-9fcf-1a410166ebde,d441a784-477e-4554-9fdf-935295f68664
d441a784-477e-4554-9fdf-935295f68664,Internal Collaboration Tools,6a6999b1-dd02-4a6c-ad57-71140ac126eb,a81b31c4-47dc-4d37-a312-5f6319b6a7a1
a81b31c4-47dc-4d37-a312-5f6319b6a7a1,Department Head Reporting Requirements,eb4c1575-5860-4f47-bd28-5ba08dbf7c9e,ba5de305-b330-4b18-91c3-cefa7e7ee6a6
ba5de305-b330-4b18-91c3-cefa7e7ee6a6,Department Structure Scalability,73b2f987-3d64-4260-b0a8-2632908c1426,
