id,sectiontitle,firstfield,nextnode
1eb4cb99-7875-406d-97a5-6beb6e15e6d2,Valuation,55ad4065-8f11-4d43-8dcb-be69d8bbbd9c,36738a37-0b4c-431b-8888-77cb5894a0c7
36738a37-0b4c-431b-8888-77cb5894a0c7,Revenue Growth,539a3812-a43b-4f51-b25c-7b7eb9919cd8,b2b0e781-0348-446d-916c-18447e08b847
b2b0e781-0348-446d-916c-18447e08b847,Net Result (Net Profit/Loss),76718dfe-8103-4437-a7df-449d72baa08d,0ad13937-52ab-433e-9eed-66f6cc0989e1
0ad13937-52ab-433e-9eed-66f6cc0989e1,OpEx,92f5f8c2-c81a-4487-85ed-2e406b5dd473,fbb87bd3-073a-4977-bf0c-7669f05bbb10
fbb87bd3-073a-4977-bf0c-7669f05bbb10,Burn Rate,70fd1ed7-4eca-4b3e-9b79-fda1ed06fb7a,e4ed5160-7643-47db-8984-26feb308b442
e4ed5160-7643-47db-8984-26feb308b442,Liquidity,c58266a2-b7d2-4adc-9cdb-4690b2f358b7,5db2c15b-119f-4a54-af18-d5b867f76adb
5db2c15b-119f-4a54-af18-d5b867f76adb,Cash Runway,92e03be2-af02-41fb-9aba-f239f1597fb8,a5c2f0ac-51e4-40ae-bb9c-4fc58330ab16
a5c2f0ac-51e4-40ae-bb9c-4fc58330ab16,Debt Management,fda4bfc2-fa58-427a-a3ec-f62ccade09be,b2da80f6-085a-4e27-875f-6c898a762377
b2da80f6-085a-4e27-875f-6c898a762377,Operational Efficiency,254ad4db-095e-4c3b-9fae-76c5b318a1fc,1c91519e-aa84-49b2-bac3-8647cae96afc
1c91519e-aa84-49b2-bac3-8647cae96afc,Tax Efficiency,28a16370-8e11-4e3c-a68f-0b4d8f6587d7,
