id,sectiontitle,firstfield,nextnode
6445e119-f6f5-4c8a-bd30-35ea389d88a3,NDA,4bd3e0ac-fb15-4bed-8221-0ce326e2dbda,23151162-0a5d-45ef-b3d0-6438700d813d
23151162-0a5d-45ef-b3d0-6438700d813d,Portfolio,08f4b6c0-b330-45b8-9532-c059b5f3bcf8,socialMedia
cad62964-1ecf-439d-bf51-751ebc2a6c84,Social Media Accounts,d904bc39-057f-48c6-82d8-ac03b6d07f09,d5e2976d-91d0-4c99-8a97-e753804dd3a0
d5e2976d-91d0-4c99-8a97-e753804dd3a0,Founding Team,ddd3eecb-8fec-42b9-8a16-c079aafdc173,4ca87809-f08b-4ee7-8069-ad07f21d1780
4ca87809-f08b-4ee7-8069-ad07f21d1780,Products & Services + Description,c7e02312-5ba1-45a5-ab83-eedde1128a6c,cbba2260-c2d6-4001-beb8-bf2f449a30b3
cbba2260-c2d6-4001-beb8-bf2f449a30b3,Patents,e98c7d76-588d-4769-b012-ac38551652d8,b5733065-f87f-4943-990e-560dcaa4f9e7
b5733065-f87f-4943-990e-560dcaa4f9e7,Achievements,e7c336a9-eb39-4ca0-99cd-1a15b54f9719,9b72fa15-b7eb-4d35-9f1a-322521f645f0
9b72fa15-b7eb-4d35-9f1a-322521f645f0,Investment Stage,ea4f1dff-af25-4170-9208-7cd3639e6c23,0f39dcdc-5c7e-4582-aa4e-69391aeff92b
0f39dcdc-5c7e-4582-aa4e-69391aeff92b,Departments,1d6226de-485e-4313-926f-554a5297cf42,abfb9161-add8-4306-81a9-221229aeaaa0
abfb9161-add8-4306-81a9-221229aeaaa0,Financials,73d9ba33-541f-4db5-a6e4-e8c3d21f7cf7,c2c16eab-3260-4cd1-a4fb-d2e480fa6afd
c2c16eab-3260-4cd1-a4fb-d2e480fa6afd,Marketing,f46ff692-8a9b-4285-870a-d191694b415f,78b6e253-9ced-4042-940b-6c4118df2cfe
78b6e253-9ced-4042-940b-6c4118df2cfe,Strategy,0b09c902-2d0a-4002-b3af-a159b9d47197,5a0fed5c-4606-42c0-aeaa-53c2da3a258f
5a0fed5c-4606-42c0-aeaa-53c2da3a258f,Competition,192fe73d-3259-4b78-b69e-5dc3b886cf15,5acc7407-b391-4d81-9165-c2dffa059a53
5acc7407-b391-4d81-9165-c2dffa059a53,Documents,5998f9af-b25c-407b-bfb4-00559e81fb34,fbd681dc-2118-438c-9b96-5e6eaa7b9618
fbd681dc-2118-438c-9b96-5e6eaa7b9618,The Ask,dad74eb3-9f86-43de-a380-e1086940e5f7,
