id,sectiontitle,firstfield,nextnode
9c2b9613-d42b-4c08-b00a-b966722427f0,CRM System Level,8d68d8fe-b797-4698-868a-866278a584c7,856e9e57-f8a9-4f33-99e5-26a11eac75f2
856e9e57-f8a9-4f33-99e5-26a11eac75f2,CRM Automation Level,1d8cef8b-1d03-4c77-a8a8-3520016ec30f,00498815-640e-4d2c-bfdd-beb973251ceb
00498815-640e-4d2c-bfdd-beb973251ceb,CRM Integration Level,3f0469c2-7f26-41d3-ab1f-a3140601a9db,7f7e94c0-878b-4212-8aa7-a2333f72400e
7f7e94c0-878b-4212-8aa7-a2333f72400e,Global CRM Strategy,f590ff5b-2a48-4013-97c3-0d68759d4d70,96140e1a-ac07-46af-aa7e-77c2db6e8d79
96140e1a-ac07-46af-aa7e-77c2db6e8d79,Customer Satisfaction Measurement,ddb156a7-86e6-44b1-80a3-15825ebec021,4a705e3c-256b-4386-87f1-2887b4346b74
4a705e3c-256b-4386-87f1-2887b4346b74,Current NPS Score,44315ff7-d009-49ec-b78f-6262682dc7c0,1c842262-50ba-4b12-8a14-210a35f175f1
1c842262-50ba-4b12-8a14-210a35f175f1,Feedback Collection and Analysis,68e4b232-0eea-4386-b4b0-f3fc7455637d,15581c40-7245-48f6-9170-f68f9fa19450
15581c40-7245-48f6-9170-f68f9fa19450,Customer Satisfaction Rate Input,ad9594a7-bae6-475a-b3b8-772c7bd14f87,fb7f564a-328f-49e7-b197-cad60fccd405
fb7f564a-328f-49e7-b197-cad60fccd405,Feedback Implementation Frequency,b04c5b10-fef5-4547-8db0-ba295e4090e3,4db39e2e-50c1-462c-8447-bb13575f0062
4db39e2e-50c1-462c-8447-bb13575f0062,Dissatisfied Customer Handling,baf0dea4-901b-4708-a1c9-f5ca7c990c28,ded7cfaa-617c-40cf-8581-f80fa111b06c
ded7cfaa-617c-40cf-8581-f80fa111b06c,Customer Retention Rate,b6ae26a2-d187-404f-9113-409acd29612a,534fa248-a9de-4b2b-acc5-532091724c67
534fa248-a9de-4b2b-acc5-532091724c67,Monthly Churn Rate,6c549f2e-dd2b-4b02-a9d6-1fc82870ff8a,161e6495-db16-4647-98bd-a1e86c9ea5b6
161e6495-db16-4647-98bd-a1e86c9ea5b6,AI Churn Prediction,a0cb58a2-859f-450a-a4bb-54682dfc0937,e407e2d0-3049-43d6-94cb-c86c0b44e417
e407e2d0-3049-43d6-94cb-c86c0b44e417,Retention Customer Segmentation,f9562181-6c38-4aec-a2ef-312dc5eaa746,d857edbf-a58f-4dce-8e10-3ee7d78d1804
d857edbf-a58f-4dce-8e10-3ee7d78d1804,Retention Strategies,5c0ef34a-bd24-4a6f-9cad-5285f08051d2,eae80fd8-b2dd-4e23-a05f-53b27df0341a
eae80fd8-b2dd-4e23-a05f-53b27df0341a,Customer Retention Rate Input,1eb05b94-0cc2-4f89-9ee0-5705bb9ff852,dd749209-e17f-4792-ba49-4e97c848836d
dd749209-e17f-4792-ba49-4e97c848836d,Current CLV Estimate,1a4ee38b-0550-4790-907b-76fd9367cdab,bf7d16da-4379-4d88-bc2d-d55d765112b2
bf7d16da-4379-4d88-bc2d-d55d765112b2,CLV vs CAC Ratio,f8d8b7e4-6caf-4a2a-95c8-3db64e3340fb,abc8dd1f-de0d-489f-b4a6-d866a8a51613
abc8dd1f-de0d-489f-b4a6-d866a8a51613,AI CLV Forecasting,049aa025-d090-408b-8edb-a5872c829661,f5881563-c4cf-4b43-9839-adb0d5dd4248
f5881563-c4cf-4b43-9839-adb0d5dd4248,CLV Customer Segmentation,58b2397b-f868-4f09-9fb9-de41a48a9514,f1136a77-0980-4b90-8f8d-4310243f90a5
f1136a77-0980-4b90-8f8d-4310243f90a5,CLV Optimization Strategies,7fa3ed05-2653-440b-99ef-594cd7469656,564b10d2-6d0f-4b03-aca0-2d4e2da94764
564b10d2-6d0f-4b03-aca0-2d4e2da94764,Customer Lifetime Value Input,bf518ed5-0a1f-4fc3-9e03-27292f943d86,91b431f6-72d9-4db9-9717-ce0b20a6ec54
91b431f6-72d9-4db9-9717-ce0b20a6ec54,Repeat Customer Revenue Percentage,e59909a9-411d-45c1-90a4-34ccbd76a7e9,d34f004f-3bef-40bb-aa59-b26212a116b0
d34f004f-3bef-40bb-aa59-b26212a116b0,Lead to Customer Conversion,4fa72143-e2d7-4656-bfb9-783fb9b96779,cea57a06-5734-43b0-b361-2a600137bfca
cea57a06-5734-43b0-b361-2a600137bfca,Website Conversion Rate,a1821b95-99d7-41f1-8635-08a943781696,0fe677cf-8a03-48ac-8acd-0df11faefc81
0fe677cf-8a03-48ac-8acd-0df11faefc81,AI Conversion Optimization,7d8e891e-6818-46f9-b442-4edb7f62e999,b4d3425f-075e-4947-b180-5d9d83912907
b4d3425f-075e-4947-b180-5d9d83912907,Paid vs Organic Conversions,aa40d5d2-8f53-47fe-a56c-2b234f545c2b,8019f5e3-57a5-48a8-8059-b23ff51d0deb
8019f5e3-57a5-48a8-8059-b23ff51d0deb,Abandoned Cart Rate,df419e70-427b-47fc-89d5-73536cfadd9f,3e554a69-93da-4413-8b79-cbb05ddfdb44
3e554a69-93da-4413-8b79-cbb05ddfdb44,Conversion Optimization Strategies,c2768c0d-20a8-4e88-9f9c-1e28bb6db464,monthly-marketing-budget
53c3a8a1-d512-4a46-bed7-900767f43d3e,Budget Optimization,6db4b71c-dd4a-41f5-a6a0-79fd17380867,220ad45f-6541-42f7-8793-53802a37a310
220ad45f-6541-42f7-8793-53802a37a310,Cost Per Acquisition,db5f1219-130d-4e42-80b5-71bea2f42c54,397d71fe-f8f6-42b0-967f-d6d24241a112
397d71fe-f8f6-42b0-967f-d6d24241a112,Budget Reallocation Frequency,6729b3a6-2451-40cf-b44e-b67e00e038e2,dbe10ae7-f98f-4656-ba83-340c73fd895a
dbe10ae7-f98f-4656-ba83-340c73fd895a,Customer Acquisition Cost,0ebb9922-63ee-4068-8ad2-96971c473dab,0dfc8b91-998c-4d3b-901e-d935afffc9e3
0dfc8b91-998c-4d3b-901e-d935afffc9e3,Return on Ad Spend,11475729-e56f-47b7-9265-3c93db1beb11,8fbcca82-35db-4ef8-9846-b3a0aba95615
