id,sectionid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype,nextfield
878d3291-711d-4cf9-9bbf-322810bd48d6,046bc368-d1c4-4b7e-99e9-bea83d516a22,dropdown,Does the company have a formal and documented organizational chart?,,,1,"z.enum(['no_formal_chart', 'partial_chart', 'full_chart'], { required_error: 'Please select an organizational chart status' })","[{""id"":""no_formal_chart"",""value"":""No formal org chart, structure is still loosely defined""},{""id"":""partial_chart"",""value"":""A partially structured org chart exists, but not fully documented""},{""id"":""full_chart"",""value"":""Yes, a fully structured and updated org chart exists""}]",,,
d7351a27-c418-478f-9712-a120e79912f4,1578c33d-25b2-4f92-8399-d7892f3a8328,dropdown,How often is the organizational structure reviewed and updated?,,,1,"z.enum(['no_review', 'yearly', 'quarterly'], { required_error: 'Please select review frequency' })","[{""id"":""no_review"",""value"":""No structured review process""},{""id"":""yearly"",""value"":""Once a year""},{""id"":""quarterly"",""value"":""Every quarter or as the company scales""}]",,,
56a94abe-8e58-4b5a-a9a2-38b9c2ec5ac3,ac0bdb14-0712-484c-a52a-a109e5d5e5ab,dropdown,How many management layers exist between entry-level employees and the CEO?,,,1,"z.enum(['5_plus_layers', '3_to_4_layers', '1_to_2_layers'], { required_error: 'Please select number of management layers' })","[{""id"":""5_plus_layers"",""value"":""5+ layers (may indicate inefficiency for Series A)""},{""id"":""3_to_4_layers"",""value"":""3-4 layers (scaling but not overly complex)""},{""id"":""1_to_2_layers"",""value"":""1-2 layers (lean and efficient)""}]",,,
f07c87d8-da33-4f31-ad3c-5c0b0fb53568,508d3b84-2a68-4feb-9a1a-6d76c699c7f3,dropdown,Does each department report directly to its respective C-level executive?,,,1,"z.enum(['no_clear_reporting', 'mixed_reporting', 'direct_reporting'], { required_error: 'Please select reporting structure' })","[{""id"":""no_clear_reporting"",""value"":""No clear reporting structure""},{""id"":""mixed_reporting"",""value"":""Mixed reporting structure (some direct, some fragmented)""},{""id"":""direct_reporting"",""value"":""Yes, direct reporting to C-level executives""}]",,,
68ad0556-fa68-432e-8127-f2568bb476a0,81256b7d-5449-4bee-9bd7-fdc2e055cb78,dropdown,Has the company expanded into multiple business units or divisions?,,,1,"z.enum(['single_entity', 'partial_divisions', 'clear_separation'], { required_error: 'Please select business units expansion status' })","[{""id"":""single_entity"",""value"":""No, company still operates as one single entity""},{""id"":""partial_divisions"",""value"":""Partially, some divisions exist but operate informally""},{""id"":""clear_separation"",""value"":""Yes, clear separation of business units""}]",,,
3e2f4226-f3bc-4bbe-996f-1211a915f461,1c5b1c4e-8e18-4d4a-a0ad-bc82365076dd,dropdown,Does each department have a middle management layer separate from senior leadership?,,,1,"z.enum(['no_middle_management', 'some_middle_management', 'structured_middle_management'], { required_error: 'Please select middle management structure' })","[{""id"":""no_middle_management"",""value"":""No, all teams still report directly to senior executives""},{""id"":""some_middle_management"",""value"":""Some departments have middle management, others don't""},{""id"":""structured_middle_management"",""value"":""Yes, structured middle management is in place""}]",,,
32a039b4-8fd2-4dda-a43a-a76469bc8b10,8cf1f2fb-6263-4862-a1f6-d92e141a20d6,dropdown,Which of the following C-level executives are present in the company? (Select all that apply),,,1,"z.array(z.enum(['ceo', 'coo', 'cfo', 'cto', 'cmo', 'cpo', 'cro', 'chro', 'clo', 'other'])).min(1, 'Please select at least one C-level executive')","[{""id"":""ceo"",""value"":""Chief Executive Officer (CEO)""},{""id"":""coo"",""value"":""Chief Operating Officer (COO)""},{""id"":""cfo"",""value"":""Chief Financial Officer (CFO)""},{""id"":""cto"",""value"":""Chief Technology Officer (CTO)""},{""id"":""cmo"",""value"":""Chief Marketing Officer (CMO)""},{""id"":""cpo"",""value"":""Chief Product Officer (CPO)""},{""id"":""cro"",""value"":""Chief Revenue Officer (CRO)""},{""id"":""chro"",""value"":""Chief Human Resources Officer (CHRO)""},{""id"":""clo"",""value"":""Chief Legal Officer (CLO)""},{""id"":""other"",""value"":""Other (please specify)""}]",,,7868e963-5721-49fc-af8b-20b1710bad67
7868e963-5721-49fc-af8b-20b1710bad67,8cf1f2fb-6263-4862-a1f6-d92e141a20d6,dropdown,How many C-level executives are present in the company?,,,1,"z.enum(['no_c_level', '1_to_2', '3_to_5', '6_to_8', '9_plus'], { required_error: 'Please select number of C-level executives' })","[{""id"":""no_c_level"",""value"":""No formal C-level structure yet""},{""id"":""1_to_2"",""value"":""1-2 C-level executives""},{""id"":""3_to_5"",""value"":""3-5 C-level executives""},{""id"":""6_to_8"",""value"":""6-8 C-level executives""},{""id"":""9_plus"",""value"":""9-10+""}]",,,
00a0f963-106d-4c17-a901-bddd158479f4,3aaa3ea8-35ec-4168-9390-1447eb3636b4,dropdown,What is their highest level of education?,,,1,"z.enum(['no_degree', 'bachelors', 'masters', 'phd'], { required_error: 'Please select education level' })","[{""id"":""no_degree"",""value"":""No formal degree""},{""id"":""bachelors"",""value"":""Bachelor's degree""},{""id"":""masters"",""value"":""Master's degree (MBA, MSc, etc.)""},{""id"":""phd"",""value"":""PhD or specialized industry certification""}]",,,fd88728e-7e6e-4cf7-82d0-03eef3f92cd4
fd88728e-7e6e-4cf7-82d0-03eef3f92cd4,3aaa3ea8-35ec-4168-9390-1447eb3636b4,dropdown,How many years of experience does this C-level executive have in their respective field?,,,1,"z.enum(['less_than_3_years', '3_to_5_years', '6_to_10_years', '10_plus_years'], { required_error: 'Please select years of experience' })","[{""id"":""less_than_3_years"",""value"":""Less than 3 years""},{""id"":""3_to_5_years"",""value"":""3-5 years""},{""id"":""6_to_10_years"",""value"":""6-10 years""},{""id"":""10_plus_years"",""value"":""10+ years""}]",,,9e84ba91-b64b-474f-8aef-5e799ab64ffd
9e84ba91-b64b-474f-8aef-5e799ab64ffd,3aaa3ea8-35ec-4168-9390-1447eb3636b4,dropdown,Has this executive previously held a leadership role in a startup or high-growth company?,,,1,"z.enum(['no_prior_leadership', 'some_leadership_exposure', 'previous_leadership_role'], { required_error: 'Please select startup leadership experience' })","[{""id"":""no_prior_leadership"",""value"":""No prior leadership experience""},{""id"":""some_leadership_exposure"",""value"":""Some leadership exposure, but not in a startup""},{""id"":""previous_leadership_role"",""value"":""Previous leadership role in a high-growth startup""}]",,,4df14e1c-db7d-426e-9571-25e680da5e86
4df14e1c-db7d-426e-9571-25e680da5e86,3aaa3ea8-35ec-4168-9390-1447eb3636b4,dropdown,What is their industry experience?,,,1,"z.enum(['no_relevant_experience', 'some_industry_exposure', '5_plus_years_experience'], { required_error: 'Please select industry experience level' })","[{""id"":""no_relevant_experience"",""value"":""No relevant industry experience""},{""id"":""some_industry_exposure"",""value"":""Some industry exposure but not extensive""},{""id"":""5_plus_years_experience"",""value"":""5+ years in the same industry""}]",,,52bbeaf6-fdc4-4378-80f1-50a6473abe9f
52bbeaf6-fdc4-4378-80f1-50a6473abe9f,3aaa3ea8-35ec-4168-9390-1447eb3636b4,dropdown,Does this executive participate in investor relations and board meetings?,,,1,"z.enum(['no_investor_interaction', 'occasional_involvement', 'regularly_engages'], { required_error: 'Please select investor relations participation level' })","[{""id"":""no_investor_interaction"",""value"":""No, only the CEO interacts with investors""},{""id"":""occasional_involvement"",""value"":""Occasionally involved in investor discussions""},{""id"":""regularly_engages"",""value"":""Regularly engages with investors and board members""}]",,,31f83da7-707e-4eff-b7e3-55dc6e3cc37b
