id,sectionid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype,nextfield
d966defa-028c-4a69-b483-b65fa84a5d95,98ef1b92-3831-4fb8-a7e4-a81e5d832c9e,dropdown,Does the company have a formal and documented organizational chart?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""no_chart"",""value"":""No formal org chart, structure is still loosely defined""},{""id"":""partial_chart"",""value"":""A partially structured org chart exists, but not fully documented""},{""id"":""full_chart"",""value"":""Yes, a fully structured and updated org chart exists""}]",,,
29588ac9-b79b-4408-ba11-c2ba7544001b,6ffe188d-38d3-44ea-8746-b50e3fef263c,dropdown,How often is the organizational structure reviewed and updated?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""no_review"",""value"":""No structured review process""},{""id"":""yearly"",""value"":""Once a year""},{""id"":""quarterly_or_scaling"",""value"":""Every quarter or as the company scales""}]",,,
ce2b114b-6db3-4924-ab89-f236bee4b901,8ff21baf-3f70-4851-8d6b-43276b8e1f99,dropdown,How many management layers exist between entry-level employees and the CEO?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""5_plus"",""value"":""5+ layers (may indicate inefficiency for Series A)""},{""id"":""3_4_layers"",""value"":""3-4 layers (scaling but not overly complex)""},{""id"":""1_2_layers"",""value"":""1-2 layers (lean and efficient)""}]",,,
d8567e6b-727d-4dba-b361-4776e6ae1809,7837f680-3534-4abb-a25d-9d05fee81fc2,dropdown,Does each department report directly to its respective C-level executive?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""no_structure"",""value"":""No clear reporting structure""},{""id"":""mixed_structure"",""value"":""Mixed reporting structure (some direct, some fragmented)""},{""id"":""direct_reporting"",""value"":""Yes, direct reporting to C-level executives""}]",,,
3527ac7f-bca1-4494-bd07-314267e8e14e,a8ebc47e-b01e-4334-a386-ca9789747174,dropdown,Has the company expanded into multiple business units or divisions?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""single_entity"",""value"":""No, company still operates as one single entity""},{""id"":""partial_divisions"",""value"":""Partially, some divisions exist but operate informally""},{""id"":""clear_divisions"",""value"":""Yes, clear separation of business units""}]",,,
f8763150-afd9-4722-bc89-034ecfe49f46,9404b0dd-b2ea-479c-9edd-d0c2cf56ef95,dropdown,Does each department have a middle management layer separate from senior leadership?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""no_middle"",""value"":""No, all teams still report directly to senior executives""},{""id"":""some_middle"",""value"":""Some departments have middle management, others don    t""},{""id"":""yes_middle"",""value"":""Yes, structured middle management is in place""}]",,,
7027026c-d454-410b-b8b8-b451d69b6e1d,f9864f33-aefa-4208-94c9-d47bfa3879c8,dropdown,Which of the following C-level executives are present in the company?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""ceo"",""value"":""Chief Executive Officer (CEO)""},{""id"":""coo"",""value"":""Chief Operating Officer (COO)""},{""id"":""cfo"",""value"":""Chief Financial Officer (CFO)""},{""id"":""cto"",""value"":""Chief Technology Officer (CTO)""},{""id"":""cmo"",""value"":""Chief Marketing Officer (CMO)""},{""id"":""cpo"",""value"":""Chief Product Officer (CPO)""},{""id"":""cro"",""value"":""Chief Revenue Officer (CRO)""},{""id"":""chro"",""value"":""Chief Human Resources Officer (CHRO)""},{""id"":""clo"",""value"":""Chief Legal Officer (CLO)""},{""id"":""other"",""value"":""Other (please specify)""},{""id"":""no_c_level"",""value"":""No formal C-level structure yet""},{""id"":""1_2_c_levels"",""value"":""1-2 C-level executives""},{""id"":""3_5_c_levels"",""value"":""3-5 C-level executives""},{""id"":""6_8_c_levels"",""value"":""6-8 C-level executives""},{""id"":""9_plus_c_levels"",""value"":""9-10+""}]",,,32c74d49-37cb-41d0-a041-f99abdaf44fe
32c74d49-37cb-41d0-a041-f99abdaf44fe,f9864f33-aefa-4208-94c9-d47bfa3879c8,dropdown,What is their highest level of education?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""no_degree"",""value"":""No formal degree""},{""id"":""bachelor"",""value"":""Bachelor's degree""},{""id"":""master"",""value"":""Master's degree (MBA, MSc, etc.)""},{""id"":""phd_or_cert"",""value"":""PhD or specialized industry certification""}]",,,126d576d-2f21-4ad6-a3ee-797b7c8e0fab
126d576d-2f21-4ad6-a3ee-797b7c8e0fab,f9864f33-aefa-4208-94c9-d47bfa3879c8,dropdown,How many years of experience does this C-level executive have in their respective field?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""lt3"",""value"":""Less than 3 years""},{""id"":""3_5"",""value"":""3-5 years""},{""id"":""6_10"",""value"":""6-10 years""},{""id"":""10_plus"",""value"":""10+ years""}]",,,cae9e045-3f0f-498c-aa8f-f67d833fd13d
cae9e045-3f0f-498c-aa8f-f67d833fd13d,f9864f33-aefa-4208-94c9-d47bfa3879c8,dropdown,Has this executive previously held a leadership role in a startup or high-growth company?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""no_leadership"",""value"":""No prior leadership experience""},{""id"":""some_exposure"",""value"":""Some leadership exposure, but not in a startup""},{""id"":""startup_leader"",""value"":""Previous leadership role in a high-growth startup""}]",,,fa16eb7d-c11a-4094-a81d-fade97083f92
fa16eb7d-c11a-4094-a81d-fade97083f92,f9864f33-aefa-4208-94c9-d47bfa3879c8,dropdown,What is their industry experience?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""no_experience"",""value"":""No relevant industry experience""},{""id"":""some_experience"",""value"":""Some industry exposure but not extensive""},{""id"":""5_plus_years"",""value"":""5+ years in the same industry""}]",,,e2214b1e-a034-4d4d-9ecf-4bcfac313229
e2214b1e-a034-4d4d-9ecf-4bcfac313229,f9864f33-aefa-4208-94c9-d47bfa3879c8,dropdown,Does this executive participate in investor relations and board meetings?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""only_ceo"",""value"":""No, only the CEO interacts with investors""},{""id"":""occasionally"",""value"":""Occasionally involved in investor discussions""},{""id"":""regularly"",""value"":""Regularly engages with investors and board members""}]",,,5853395f-b552-4732-a469-98bf7894d363
5853395f-b552-4732-a469-98bf7894d363,f9864f33-aefa-4208-94c9-d47bfa3879c8,dropdown,How involved is this executive in strategic decision-making?,,,1,"z.string().min(1, 'This field is required')","[{""id"":""minimal"",""value"":""Minimal involvement, execution-focused""},{""id"":""some_input"",""value"":""Some input, but not leading key initiatives""},{""id"":""fully_engaged"",""value"":""Fully engaged in strategy and company vision""}]",,,
