id,sectiontitle,firstfield,nextnode
98ef1b92-3831-4fb8-a7e4-a81e5d832c9e,Organizational Chart,d966defa-028c-4a69-b483-b65fa84a5d95,6ffe188d-38d3-44ea-8746-b50e3fef263c
6ffe188d-38d3-44ea-8746-b50e3fef263c,Structure Review Frequency,29588ac9-b79b-4408-ba11-c2ba7544001b,8ff21baf-3f70-4851-8d6b-43276b8e1f99
8ff21baf-3f70-4851-8d6b-43276b8e1f99,Management Layers,ce2b114b-6db3-4924-ab89-f236bee4b901,7837f680-3534-4abb-a25d-9d05fee81fc2
7837f680-3534-4abb-a25d-9d05fee81fc2,Department Reporting Structure,d8567e6b-727d-4dba-b361-4776e6ae1809,a8ebc47e-b01e-4334-a386-ca9789747174
a8ebc47e-b01e-4334-a386-ca9789747174,Business Units or Divisions,3527ac7f-bca1-4494-bd07-314267e8e14e,9404b0dd-b2ea-479c-9edd-d0c2cf56ef95
9404b0dd-b2ea-479c-9edd-d0c2cf56ef95,Middle Management Layer,f8763150-afd9-4722-bc89-034ecfe49f46,f9864f33-aefa-4208-94c9-d47bfa3879c8
f9864f33-aefa-4208-94c9-d47bfa3879c8,C-Level Executives,7027026c-d454-410b-b8b8-b451d69b6e1d,659bd90f-727d-44d8-afd9-6dbf8bd63b6a
659bd90f-727d-44d8-afd9-6dbf8bd63b6a,Established Departments,4223b3c5-ccca-48c6-84b6-d87f4fb8091c,f35f6b1a-3661-422c-9b17-0e5f3ff868eb
f35f6b1a-3661-422c-9b17-0e5f3ff868eb,Departmental KPIs,2028c3bd-85f4-404c-b63c-bcd40e1db274,85b33f9f-34bf-45fc-8fad-7f6bb2671822
85b33f9f-34bf-45fc-8fad-7f6bb2671822,Internal Collaboration Tools,967bfeb4-fff2-42d0-bc7e-44fd4ab60250,f2df9250-81b9-4164-b50a-e290211df72d
f2df9250-81b9-4164-b50a-e290211df72d,Reporting System,1ebf4f47-a94e-4d6e-9251-37ebe29f91b8,7d552376-fb68-42f4-94fe-bf7811d665c4
7d552376-fb68-42f4-94fe-bf7811d665c4,Scalability Readiness,998289d7-d512-4c37-93f6-f12122b98c81,ef842f2b-ca50-4199-b60b-0f82411f1086
ef842f2b-ca50-4199-b60b-0f82411f1086,Career Progression,d32d9fbf-e2f3-43ee-915f-e598910c8738,1d48c4ed-d623-464a-b138-4545132ac630
1d48c4ed-d623-464a-b138-4545132ac630,Leadership Hiring Strategy,fa908d12-6152-4835-b4e0-9af22410bfcd,e331d39d-1cd9-40ad-bcfa-ed66d3799f0f
e331d39d-1cd9-40ad-bcfa-ed66d3799f0f,Global Workflow Optimization,17525244-6c97-4f53-81b5-74637c265965,ec0c6005-3326-4373-9a93-67fa5535e9d9
ec0c6005-3326-4373-9a93-67fa5535e9d9,Compliance and Risk,c3cb38d6-63ae-4ab2-ac4a-45c965a6c68d,288bb3b1-6007-45db-bb5f-e6b9120e2f6a
288bb3b1-6007-45db-bb5f-e6b9120e2f6a,Department Optimization,fd4cf8db-cb7f-4748-8689-ceca59cdb9d3,
