id,sectionid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype,nextfield
cc7d039d-6225-4372-ae27-735725278012,aaf41050-74b6-4ff1-bc1c-6c9f0101a60d,text,What is your company's estimated valuation brackets? (Insert estimated bracket - lower + upper bounds in USD),TBD,,1,"z.string().min(1, 'Valuation bracket is required')",[],,,f5fc1473-9c54-41d4-b1db-f20781f9e2a7
f5fc1473-9c54-41d4-b1db-f20781f9e2a7,aaf41050-74b6-4ff1-bc1c-6c9f0101a60d,file,Cap table - Upload PDF or excel file (no csv),,,1,"z.string().min(1, 'Cap table is required').refine((val) => val.endsWith('.pdf') || val.endsWith('.xlsx') || val.endsWith('.xls'), 'File must be PDF or Excel format')",[],,,
0addab25-e288-497b-b7cf-a6adbe239283,953ced94-cab7-402b-be87-021238314ff7,dropdown,What was your year-over-year (YoY) revenue growth?,,,1,"z.enum(['< 15%', '15-40%', '> 40%'], { required_error: 'YoY revenue growth is required' })","[{""id"":""less_15"",""value"":""< 15%""},{""id"":""15_to_40"",""value"":""15-40%""},{""id"":""more_40"",""value"":""> 40%""}]",,,
ee91a23c-abdd-4a2c-b4d4-8ae320f3a715,72b3b9a6-460b-431b-81b8-922cb7bddf8c,dropdown,"Has the generated revenue resulted in a net profit (i.e., revenue surpassing expenses)?",,,1,"z.enum(['No', 'Yes'], { required_error: 'Profit status is required' })","[{""id"":""no"",""value"":""No""},{""id"":""yes"",""value"":""Yes""}]",,,6a1cb488-eb6c-4fe4-850f-7ff180fc7de2
6a1cb488-eb6c-4fe4-850f-7ff180fc7de2,72b3b9a6-460b-431b-81b8-922cb7bddf8c,file,"Upload P&L Statement (PDF or excel file, no csv)",,,1,"z.string().min(1, 'P&L statement is required').refine((val) => val.endsWith('.pdf') || val.endsWith('.xlsx') || val.endsWith('.xls'), 'File must be PDF or Excel format')",[],,,cdb991c1-71eb-4b02-9a74-8a469cff5cff
cdb991c1-71eb-4b02-9a74-8a469cff5cff,72b3b9a6-460b-431b-81b8-922cb7bddf8c,dropdown,What is your current net result (profit or loss)?,,,1,"z.enum(['Loss greater than 20% of revenue', 'Loss between 20% and 0%', 'Break-even or profit <10%', 'Profit > 10%'], { required_error: 'Net result is required' })","[{""id"":""loss_20plus"",""value"":""Loss greater than 20% of revenue""},{""id"":""loss_20_to_0"",""value"":""Loss between 20% and 0%""},{""id"":""break_even"",""value"":""Break-even or profit <10%""},{""id"":""profit_10plus"",""value"":""Profit > 10%""}]",,,
48527298-c1af-46e7-b3e5-1ab771859d71,105c6bce-7da8-4cc4-b068-f0044c94b640,dropdown,What is your current OpEx ratio?,,,1,"z.enum(['> 70% of revenue spent on OpEx', '40-70% of revenue spent on OpEx', '< 40% of revenue spent on OpEx'], { required_error: 'OpEx ratio is required' })","[{""id"":""over_70"",""value"":""> 70% of revenue spent on OpEx""},{""id"":""40_to_70"",""value"":""40-70% of revenue spent on OpEx""},{""id"":""under_40"",""value"":""< 40% of revenue spent on OpEx""}]",,,a8e7dbaa-86f6-45a7-9ea6-c867af94c2cb
a8e7dbaa-86f6-45a7-9ea6-c867af94c2cb,105c6bce-7da8-4cc4-b068-f0044c94b640,file,"Upload Balance Sheet statement (PDF or excel file, no csv)",,,1,"z.string().min(1, 'Balance sheet is required').refine((val) => val.endsWith('.pdf') || val.endsWith('.xlsx') || val.endsWith('.xls'), 'File must be PDF or Excel format')",[],,,
80e446a9-19a1-4c7e-8ef8-c4b7ff74cacd,9b1755c1-24c0-427f-aa6c-e7fb9385db22,dropdown,What is your current monthly cash burn rate?,,,1,"z.enum(['>100% of revenue', '60%-100% of revenue', '<60% of revenue'], { required_error: 'Burn rate is required' })","[{""id"":""over_100"",""value"":"">100% of revenue""},{""id"":""60_to_100"",""value"":""60%-100% of revenue""},{""id"":""under_60"",""value"":""<60% of revenue""}]",,,
6b1dd493-d483-4e94-a05c-846f68ce7b57,c4959ac8-db3b-4779-9bc9-0ac7159105dd,dropdown,What is your current liquidity ratio?,,,1,"z.enum(['< 1.5', '1.5 - 2.0', '> 2.0'], { required_error: 'Current ratio is required' })","[{""id"":""under_1_5"",""value"":""< 1.5""},{""id"":""1_5_to_2"",""value"":""1.5 - 2.0""},{""id"":""over_2"",""value"":""> 2.0""}]",,,1e7db442-47a2-4a99-8ee5-475c7789bca6
1e7db442-47a2-4a99-8ee5-475c7789bca6,c4959ac8-db3b-4779-9bc9-0ac7159105dd,dropdown,What is your quick liquidity ratio?,,,1,"z.enum(['< 1.0', '1.0 - 1.5', '> 1.5'], { required_error: 'Quick ratio is required' })","[{""id"":""under_1"",""value"":""< 1.0""},{""id"":""1_to_1_5"",""value"":""1.0 - 1.5""},{""id"":""over_1_5"",""value"":""> 1.5""}]",,,
7588afca-5de9-4141-a0a2-c012f9d0ce0d,4d1d8b65-0ff3-4095-93fc-c4c599d346f1,dropdown,How many months of runway do you currently have?,,,1,"z.enum(['Less than 6 months', '6 to 12 months', '12-18 months', 'More than 18 months'], { required_error: 'Runway time is required' })","[{""id"":""under_6"",""value"":""Less than 6 months""},{""id"":""6_to_12"",""value"":""6 to 12 months""},{""id"":""12_to_18"",""value"":""12-18 months""},{""id"":""over_18"",""value"":""More than 18 months""}]",,,
