id,sectionid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype,nextfield
3046e3b1-55a2-4440-92a1-c996d2266957,f8c4bd68-9642-427b-9d11-94d113606a02,text,What is your company's estimated valuation brackets? (Insert estimated bracket - lower + upper bounds in USD),TBD,,1,"z.string().min(1, 'Valuation bracket is required')",[],,,fcb2e3c3-5122-4a48-8ad5-a18273717467
fcb2e3c3-5122-4a48-8ad5-a18273717467,f8c4bd68-9642-427b-9d11-94d113606a02,file,Cap table - Upload PDF or excel file (no csv),,,1,"z.string().min(1, 'Cap table is required').refine((val) => val.endsWith('.pdf') || val.endsWith('.xlsx') || val.endsWith('.xls'), 'File must be PDF or Excel format')",[],,,
528cc4b8-5f76-4130-9785-b4265d5ac278,f8a4b4fb-8262-4e0b-819a-af26f044d4e2,dropdown,What is your expected revenue growth at year-end?,,,1,"z.enum(['< 40%', '40-70%', '> 70%'], { required_error: 'Revenue growth selection is required' })","[{""id"":""under_40"",""value"":""< 40%""},{""id"":""40_to_70"",""value"":""40-70%""},{""id"":""over_70"",""value"":""> 70%""}]",,,
e019b31d-beb6-408a-9dbe-773eb34a5241,24e4857e-4e60-4dd5-ba76-21c133a74773,dropdown,In how many years do you expect your revenue to surpass expenses and generate net profit?,,,1,"z.enum(['More than 5 years', '3 to 5 Years', 'Less than 3 years'], { required_error: 'Profit timeline selection is required' })","[{""id"":""over_5_years"",""value"":""More than 5 years""},{""id"":""3_to_5_years"",""value"":""3 to 5 Years""},{""id"":""under_3_years"",""value"":""Less than 3 years""}]",,,002d6905-f6a7-4b4a-a7cf-9e526c048f08
002d6905-f6a7-4b4a-a7cf-9e526c048f08,24e4857e-4e60-4dd5-ba76-21c133a74773,dropdown,What is your projected net result (profit or loss) one year after launching?,,,1,"z.enum(['Loss greater than 50% of revenue', 'Loss between 50% and 0%', 'Break-even or profit'], { required_error: 'Projected result selection is required' })","[{""id"":""loss_over_50"",""value"":""Loss greater than 50% of revenue""},{""id"":""loss_50_to_0"",""value"":""Loss between 50% and 0%""},{""id"":""break_even_or_profit"",""value"":""Break-even or profit""}]",,,51630a94-2c1a-4c91-8ea4-2f1a63043909
51630a94-2c1a-4c91-8ea4-2f1a63043909,24e4857e-4e60-4dd5-ba76-21c133a74773,file,"Upload P&L Statement (PDF or excel file, no csv)",,,1,"z.string().min(1, 'P&L Statement is required').refine((val) => val.endsWith('.pdf') || val.endsWith('.xlsx') || val.endsWith('.xls'), 'File must be PDF or Excel format')",[],,,
1a014d9e-5b02-4ae4-9a4c-69df4d7a4283,916ddcb7-8354-4050-b439-e55dc1e10f8e,dropdown,What is your projected OpEx ratio one year after launch?,,,1,"z.enum(['> 90% of revenue spent on OpEx', '60-90% of revenue spent on OpEx', '< 60% of revenue spent on OpEx'], { required_error: 'OpEx ratio selection is required' })","[{""id"":""over_90"",""value"":""> 90% of revenue spent on OpEx""},{""id"":""60_to_90"",""value"":""60-90% of revenue spent on OpEx""},{""id"":""under_60"",""value"":""< 60% of revenue spent on OpEx""}]",,,35f9aa6a-f678-401c-ab1d-579b7bf20fd8
35f9aa6a-f678-401c-ab1d-579b7bf20fd8,916ddcb7-8354-4050-b439-e55dc1e10f8e,file,"Upload Balance Sheet statement (PDF or excel file, no csv)",,,1,"z.string().min(1, 'Balance Sheet is required').refine((val) => val.endsWith('.pdf') || val.endsWith('.xlsx') || val.endsWith('.xls'), 'File must be PDF or Excel format')",[],,,
8cdf982f-3cab-4df1-bb85-63c942344173,bc4ee5e3-04b0-4722-8089-e24cc3445131,dropdown,What is your current monthly cash burn rate? (Time-Based),,,1,"z.enum(['<9 months of runway', '9-14 months of runway', '>14 months of runway'], { required_error: 'Burn rate selection is required' })","[{""id"":""under_9_months"",""value"":""<9 months of runway""},{""id"":""9_to_14_months"",""value"":""9-14 months of runway""},{""id"":""over_14_months"",""value"":"">14 months of runway""}]",,,
69e9bf20-7c66-447b-aefd-5dc468a02a68,d2e88b31-474d-4328-97dd-e1ba5da8379e,dropdown,What is your estimated liquidity ratio at year-end?,,,1,"z.enum(['< 1.0', '1.0 - 1.5', '> 1.5'], { required_error: 'Current ratio selection is required' })","[{""id"":""under_1"",""value"":""< 1.0""},{""id"":""1_to_1_5"",""value"":""1.0 - 1.5""},{""id"":""over_1_5"",""value"":""> 1.5""}]",,,ddd0da4d-693b-4c54-a7b7-ead1056af43c
