id,sectiontitle,firstfield,nextnode
5e1d4cb9-eab7-4178-b3f0-c0010e17bca9,CRM System,2aacf820-46ce-4a05-908e-ff97e66ca833,bbffc082-6e58-41b5-9b1d-c22fc1b2c1f1
bbffc082-6e58-41b5-9b1d-c22fc1b2c1f1,Active Customer Contacts,e6c50c6e-a7bd-40d3-b05b-9fa171c78a9b,336b7dea-fa88-4ca9-a06f-ac8e3d3e02c0
336b7dea-fa88-4ca9-a06f-ac8e3d3e02c0,CRM Automation,edae1c54-7db9-4e43-a2f7-527ef57b9343,ec7f8fc9-4c48-4315-ab79-39fc676493ec
ec7f8fc9-4c48-4315-ab79-39fc676493ec,CRM Integration,0966ec0b-1c8e-4772-9c1f-40228c9a8b82,c267c73c-73f6-4bbd-a2fa-b8e709a9b9b6
c267c73c-73f6-4bbd-a2fa-b8e709a9b9b6,Customer Satisfaction Measurement,3e03eb9e-7a50-4907-a6c3-284f72b9190d,df831e8c-1b9f-4eeb-98ee-5ca0d7646f51
df831e8c-1b9f-4eeb-98ee-5ca0d7646f51,Net Promoter Score,71c2c210-8d6d-46da-bccf-a1a802d209c7,5b73f660-5803-465e-8732-c692bedd9daa
9576be1a-2768-46a6-acca-fc07b48332a3,Positive Reviews Percentage,8bac6c76-7dbe-4186-99c8-fdd38638b43b,7f51e2d3-5098-4b4d-bb0b-247a3fd20f7f
7f51e2d3-5098-4b4d-bb0b-247a3fd20f7f,Feedback Adjustment Frequency,d3e27758-d227-4cd4-9ea3-a1baa53a2b3c,9d874745-c037-4e83-9f2f-b15e4ef5dfed
9d874745-c037-4e83-9f2f-b15e4ef5dfed,Customer Retention Rate,440e9343-6d8c-485f-8471-9179ccac6216,86fde9ec-8c62-48ce-835f-9c90eca70a85
86fde9ec-8c62-48ce-835f-9c90eca70a85,Customer Churn Rate,696882af-7fcb-4545-87b9-685f1b4d8293,9d3c74ae-f165-4100-8b8f-455d90e320ef
9d3c74ae-f165-4100-8b8f-455d90e320ef,Retention Segmentation,23f32b4f-e2ea-4eb2-8bb3-97a6e8354591,63d025bc-256e-443f-af05-e3e91c89cc4a
63d025bc-256e-443f-af05-e3e91c89cc4a,Churn Reasons,01518690-1f1c-44e2-afb3-26b54ae49cb8,f71540cc-5ed8-4efd-a90a-05701e188966
f71540cc-5ed8-4efd-a90a-05701e188966,Retention Strategies,4b89847a-2fd8-4f1f-9fed-385e73300381,629ed7b7-a6ee-48ff-a90a-3537eddd9092
629ed7b7-a6ee-48ff-a90a-3537eddd9092,Customer Lifetime Value,303f31ec-f707-4db2-911e-6bd1c49af54a,68925475-a539-4810-95f5-b0eb762b139f
68925475-a539-4810-95f5-b0eb762b139f,CLV vs CAC,d4902fae-abda-4087-b0fe-05a4b6b2bb49,96e00a25-e885-4adb-bf79-e0fe5298d943
96e00a25-e885-4adb-bf79-e0fe5298d943,CLV Segmentation,2a240a83-93cc-4d20-b7f9-77c9e2059564,b22539e3-663b-41d4-a8b1-6908343c927f
b22539e3-663b-41d4-a8b1-6908343c927f,CLV Improvement Strategies,30bef8c1-59ee-42a2-b698-7ec9e0bdfbee,c36ea7a2-34ae-4cc0-b0ca-a5dfdc1b9c76
c36ea7a2-34ae-4cc0-b0ca-a5dfdc1b9c76,Repeat Customer Revenue,0559c662-7f88-42bd-91c8-d44034ea25de,4da5979b-cc67-4b1d-b4f9-405e898b70a9
4da5979b-cc67-4b1d-b4f9-405e898b70a9,Lead Conversion Rate,2a4ba116-dd01-42cc-9e69-869faef28fba,668888b8-7152-4e9a-8c7b-ce9202b2c2b1
668888b8-7152-4e9a-8c7b-ce9202b2c2b1,Website Conversion Rate,7153eecb-13cc-4f3c-b859-9c03f847ba32,b2afc29c-33ab-4a81-b4ee-01be9b2b963b
b2afc29c-33ab-4a81-b4ee-01be9b2b963b,High Converting Channels,18837eee-9e50-4ef6-a1c7-1d40cfa28ca3,86e06f16-9c6e-4caf-a483-4a6f13198918
86e06f16-9c6e-4caf-a483-4a6f13198918,Abandoned Cart Rate,b48edddf-e830-4d48-8362-ced7a81b248f,c8cb7c65-cafb-48b0-a1e3-69646d7c06bd
c8cb7c65-cafb-48b0-a1e3-69646d7c06bd,Conversion Optimization Strategies,7c93f55f-fde0-4bc6-b613-5765edaca96a,25af286b-d7d8-425c-abe2-e1499f473c55
