id,sectiontitle,firstfield,nextnode
70577ed9-1ab1-4860-aac6-a3ded40ee307,CRM System Level,afec734f-8d9c-466b-b57b-4dac435d6a5f,8825c168-4328-439e-af85-df3183c3488c
8825c168-4328-439e-af85-df3183c3488c,CRM Integration,14f51ecf-eb3b-44cf-b216-b8134fbb81b5,f0107cfa-537b-49bf-b5d0-93d999ed9d8a
f0107cfa-537b-49bf-b5d0-93d999ed9d8a,AI-Driven Customer Intelligence,cdf25c71-014d-464d-88bb-b89c040adfd2,f6cc8bdc-8444-47d9-bdc2-86691e857a35
f6cc8bdc-8444-47d9-bdc2-86691e857a35,CLV Tracking,39299ac4-1d9e-4408-8463-3305c67dd79e,614552ad-d223-4508-821b-b2816cc0b997
614552ad-d223-4508-821b-b2816cc0b997,Existing Customer Revenue,919c5f72-2832-4d9a-9b58-1c8fc1b4bdb8,639e3b65-0561-4592-8ddd-650fa0589b54
639e3b65-0561-4592-8ddd-650fa0589b54,Customer Satisfaction Methods,d7e9a88f-1371-4b3f-b595-761d3090912c,feda0e67-d978-4a63-8232-3d6ab088c13e
feda0e67-d978-4a63-8232-3d6ab088c13e,Net Promoter Score,79360a86-ac84-446a-8573-df1dd8443484,8cb26bb1-381f-42ae-8d2a-5f5036e5a532
8cb26bb1-381f-42ae-8d2a-5f5036e5a532,Feedback Collection Analysis,6fdc8f0c-9fe0-44c0-8136-720e7c6d92f9,23c3683c-c546-4286-ab4b-17479ee636d6
23c3683c-c546-4286-ab4b-17479ee636d6,Feedback Implementation Frequency,f83ed9e4-fb81-414c-9a78-8ff352c28dcc,d86949f0-b853-489f-a552-dfe8832661d5
d86949f0-b853-489f-a552-dfe8832661d5,Dissatisfied Customer Management,b7ad178b-b907-4268-9a01-c9f2ccd87b6f,b3dbe66e-2be8-49c7-9d27-bb951fea1daf
b3dbe66e-2be8-49c7-9d27-bb951fea1daf,Customer Retention Rate,a0aa9d05-2435-431d-b8e5-38f6ab8d7ad3,5aad04fc-9f34-46e8-8bc1-43afa74ac53d
5aad04fc-9f34-46e8-8bc1-43afa74ac53d,Customer Churn Rate,b0fd721a-9afa-43e0-92ea-2f647a93b3ce,de915991-2678-4eec-8195-55e1b41e1e86
de915991-2678-4eec-8195-55e1b41e1e86,AI Churn Prediction,35ddabf5-b207-4063-999e-f2bb715a44f4,1854e77f-9c62-4920-b99c-5d27a2baf384
1854e77f-9c62-4920-b99c-5d27a2baf384,Customer Segmentation Retention,d2e9e8f5-a5ca-4dee-add5-e549442e764b,a56c59a8-aa79-48c2-80a6-f16f2f6b2450
a56c59a8-aa79-48c2-80a6-f16f2f6b2450,Retention Strategies,99256885-870d-4155-a62a-a1e8ca64ae80,47845e4e-f024-4cb1-b614-b4f49fbaf3d4
47845e4e-f024-4cb1-b614-b4f49fbaf3d4,Repeat Customer Revenue,66ca496c-7ceb-45a5-bd9e-e7d8d985e729,6f344f34-e2d9-4ec2-891f-a09f9b3dcf25
6f344f34-e2d9-4ec2-891f-a09f9b3dcf25,Estimated CLV,d62236ca-edbd-45cb-9624-83ed012db8ad,2e833bb8-f42e-4f9b-980c-dec0ecb41d57
2e833bb8-f42e-4f9b-980c-dec0ecb41d57,CLV vs CAC,54e9035f-40d2-4c67-a917-1aa086a46aaa,24292e97-2feb-487d-a221-c02e4b1df95a
24292e97-2feb-487d-a221-c02e4b1df95a,AI CLV Forecasting,7f2366a3-7562-4be2-8e6b-b77b8af5b654,4abd8a8b-0e16-4fbd-baa2-72edf83d3b13
4abd8a8b-0e16-4fbd-baa2-72edf83d3b13,CLV Customer Segmentation,e6704a3c-6089-4c18-8eeb-65203e2f42e0,fe8f1708-191d-4e2e-bcac-15edadc2247d
fe8f1708-191d-4e2e-bcac-15edadc2247d,CLV Increase Strategies,3ac00a0a-8496-4357-bdcc-4afab1ab158d,1bcf91dd-fdcf-42e5-af56-46aa87085010
1bcf91dd-fdcf-42e5-af56-46aa87085010,High CLV Revenue Percentage,0f1719d1-13a7-49d5-b6d4-575fa31a3443,b08bb1d4-ee66-494f-86a3-9a16abd737d1
b08bb1d4-ee66-494f-86a3-9a16abd737d1,Lead Conversion Rate,49ce43ea-581f-4c70-8d66-f8faba3026b3,6e239a70-d452-4bc8-8e34-46c28c80ba2e
6e239a70-d452-4bc8-8e34-46c28c80ba2e,Website Conversion Rate,a1e7253f-0e10-4eaf-a9b5-7f60cc6b99ef,81f8efd7-a2cf-47ed-8212-5e0d35a31ab1
81f8efd7-a2cf-47ed-8212-5e0d35a31ab1,AI Conversion Optimization,56d0a36a-bfb9-4af3-8a6c-bfe1b4d6851b,99d1bd9a-139e-4b91-ad56-76768de5a7f5
99d1bd9a-139e-4b91-ad56-76768de5a7f5,Paid vs Organic Conversions,235b3ffc-2e54-4ba4-ad02-ab82b6f6e414,8207e19d-85de-450d-8006-067ded77f453
8207e19d-85de-450d-8006-067ded77f453,Abandoned Cart Rate,79eb3c02-b421-4995-86a3-0aea6aea1edd,e3be792b-3f6e-4dce-ba45-163e83343f23
e3be792b-3f6e-4dce-ba45-163e83343f23,Conversion Optimization Strategies,247c54c7-09c7-4659-b4cd-eba93e71666a,1bfec9a4-f4d0-4c66-9a66-92aea7553dee
1bfec9a4-f4d0-4c66-9a66-92aea7553dee,Monthly Marketing Budget,c622f1b4-3730-4f47-86ca-34a097741e98,c3beac6c-4d3d-45e1-9226-549a563c0922
c3beac6c-4d3d-45e1-9226-549a563c0922,Marketing Budget Percentage,4452ab7f-33cd-4681-a449-24c6194d6f7e,74bf66c9-734d-4a7b-a13c-f838382d7d03
74bf66c9-734d-4a7b-a13c-f838382d7d03,Marketing Budget Distribution,c82c046e-71d3-4ac9-ad5c-4bde59434833,960a53a4-498c-4d44-9546-7db7e6e817aa
960a53a4-498c-4d44-9546-7db7e6e817aa,Dynamic Budget Adjustment,20149472-f6a6-4edf-88b2-b9ca00db6ead,cc58df69-8d28-428e-9167-65ba757561fd
